line,character,dialogue,sentiment,entities
1,THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!,-0.5089683677908998,[]
2,THREEPIO,We're doomed!,-0.5629983267348644,[]
3,THREEPIO,There'll be no escape for the Princess this time.,-0.3297721568952898,['Princess']
4,THREEPIO,What's that?,-0.10180985310861534,[]
5,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,-0.10847140238533304,['half']
6,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,0.08407219545456868,[]
7,THREEPIO,"Artoo! Artoo-Detoo, where are you?",-0.49852001519815214,"['Artoo', 'Artoo-Detoo']"
8,THREEPIO,At last!  Where have you been?,-0.47066836015805036,[]
9,THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!,-0.45869386691789793,['Kessel']
10,THREEPIO,"Wait a minute, where are you going?",-0.14381495717675308,['a minute']
11,IMPERIAL OFFICER,The Death Star plans are not in the main computer.,-0.19047299137329743,[]
12,VADER,Where are those transmissions you intercepted?,-0.4085923125458826,[]
13,REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,-0.5023772105574715,[]
14,VADER,If this is a consular ship... where is the Ambassador?,-0.18874293636013117,[]
15,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!",0.07301649592673343,['Commander']
16,TROOPER,There she is! Set for stun!,0.12652312627216444,[]
17,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.,-0.08413477391989277,['Vader']
18,THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..",-0.15690775155029835,[]
19,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.",-0.41814075587968613,[]
20,THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!,-0.1959998436952064,[]
21,THREEPIO,I'm going to regret this.,-0.2305433326395656,[]
22,CHIEF PILOT,There goes another one.,-0.023854672398005317,[]
