line,character,dialogue,sentiment,entities
1,LUKE,"Echo Three to Echo Seven. Han, old buddy, do you  read me?",-0.3074197563646406,"['Echo Three', 'Echo Seven', 'Han']"
2,HAN,"Loud and clear, kid. What's up?",-0.4760373281503947,[]
3,LUKE,"Well, I finished my circle. I don't pick up any  life readings.",-0.055743944078540775,[]
4,HAN,There isn't enough life on this ice cube to fill a  space cruiser. The sensors are placed. I'm going back.,-0.2940087817530004,[]
5,LUKE,Right. I'll see you shortly. There's a meteorite  that hit the ground near here. I want to check it out. It won't take long.,-0.21464559448263576,[]
6,LUKE,"Hey, steady girl. What's the matter? You smell something?",-0.28147036424178506,[]
7,LUKE,Aaargh!,-0.7122507811951007,[]
8,HAN,Chewie!,0.5688953095223301,['Chewie']
9,HAN,"All right, don't lose your temper. I'll come right back and give  you a hand.",0.3516617016042325,[]
10,RIEEKAN,Solo?,-0.46607792526724756,[]
11,HAN,"No sign of life out there, General. The sensors are in place.  You'll know if anything comes around.",-0.15191939679299815,[]
12,RIEEKAN,Commander Skywalker reported in yet?,-0.2641074336501885,['Skywalker']
13,HAN,No. He's checking out a meteorite that hit near him.,-0.5324856864667651,[]
14,RIEEKAN,"With all the meteor activity in this  system, it's going to be difficult to spot approaching ships.",-0.591286482758564,[]
15,HAN,"General, I've got to leave. I can't stay anymore.",-0.06951706359038146,[]
16,RIEEKAN,I'm sorry to hear that.,0.0,[]
17,HAN,"Well, there's a price on my head. If I don't pay off Jabba the  Hut, I'm a dead man.",-0.19161617769161254,['Jabba the  Hut']
18,RIEEKAN,"A death mark's not an easy thing to live with. You're a good  fighter, Solo. I hate to lose you.",0.1440380455855006,[]
19,HAN,"Thank you, General.",0.641124291352094,[]
20,HAN,"Well, Your Highness, I guess this is it.",0.0910460097793484,[]
21,LEIA,That's right.,0.16463072391205058,[]
22,HAN,"Well, don't get all mushy on me. So long, Princess.",-0.29965734701053015,[]
23,LEIA,Han!,0.6065054159142211,['Han']
24,HAN,"Yes, Your Highnessness?",-0.09920864701191312,['Highnessness']
25,LEIA,I thought you decided to stay.,0.13915287500796936,[]
26,HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my  mind.",-0.3264930942857316,['Ord Mantell']
27,LEIA,"Han, we need you!",0.4035899499080666,['Han']
28,HAN,We?,-0.7315222987483312,[]
29,LEIA,Yes.,-0.23353076685601293,[]
30,HAN,"Oh, what about you need?",0.06686716417925753,[]
31,LEIA,I need? I don't know what you're talking about.,0.22662399064066796,[]
32,HAN,You probably don't.,-0.22362724190720007,[]
33,LEIA,And what precisely am I supposed to know?,-0.034033019102486906,[]
34,HAN,Come on! You want me to stay because of the way you feel about  me.,0.3133019354340385,[]
35,LEIA,Yes. You're a great help to us. You're a natural leader...,0.2561586958215696,[]
36,HAN,No! That's not it. Come on. Aahhh -- uh huh! Come on.,-0.30487636083588887,[]
37,LEIA,You're imagining things.,0.20157178542468834,[]
38,HAN,Am I? Then why are you following me? Afraid I was going to leave  without giving you a goodbye kiss?,-0.2677659967289885,[]
39,LEIA,I'd just as soon kiss a Wookiee.,-0.19407267903305958,[]
40,HAN,I can arrange that. You could use a good kiss!,0.25014037418783186,[]
41,THREEPIO,Don't try to blame me. I didn't ask you to turn on the  thermal heater. I merely commented that it was freezing in the princess's chamber. But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know.,-0.45947757280365953,[]
42,THREEPIO,"Oh, switch off.",-0.5602787316882827,[]
43,HAN,Why do you take this apart now? I'm trying to get us  out of here and you pull both of these.,0.09991966809587782,[]
44,THREEPIO,"Excuse me, sir.",0.01579604545985447,[]
45,HAN,Put them back together right now.,0.030201995750154476,[]
46,THREEPIO,"Might I have a word with you, please?",0.01771097777226749,[]
47,HAN,What do you want?,0.349219924460634,[]
